track_name,last_played_date,is_user_initiated,artist_name,track_name_clean
許文友 - 花房姑娘,1708608852879,False,許文友,花房姑娘
許文友 - 花房姑娘,1708608852879,True,許文友,花房姑娘
Skrillex & Diplo - Where Are Ü Now (with Justin Bieber) [Marshmello Remix],1609690494734,False,Skrillex & Diplo,Where Are Ü Now (with Justin Bieber) [Marshmello Remix]
Skrillex & Diplo - Where Are Ü Now (with Justin Bieber) [Marshmello Remix],1609690494734,True,Skrillex & Diplo,Where Are Ü Now (with Justin Bieber) [Marshmello Remix]
Heitor Pereira - Minions Through Time,1734025600726,False,Heitor Pereira,Minions Through Time
Carly Rae Jepsen - Run Away with Me,1661973918193,False,Carly Rae Jepsen,Run Away with Me
Carly Rae Jepsen - Run Away with Me,1661973918193,True,Carly Rae Jepsen,Run Away with Me
Carly Rae Jepsen - E•MO•TION,1661980947430,False,Carly Rae Jepsen,E•MO•TION
Carly Rae Jepsen - E•MO•TION,1661980947430,True,Carly Rae Jepsen,E•MO•TION
Carly Rae Jepsen - I Really Like You,1661974320048,False,Carly Rae Jepsen,I Really Like You
Carly Rae Jepsen - I Really Like You,1661974320048,True,Carly Rae Jepsen,I Really Like You
Carly Rae Jepsen - Gimmie Love,1661974522302,False,Carly Rae Jepsen,Gimmie Love
Carly Rae Jepsen - Gimmie Love,1661974522302,True,Carly Rae Jepsen,Gimmie Love
Carly Rae Jepsen - All That,1661974798947,False,Carly Rae Jepsen,All That
Carly Rae Jepsen - All That,1661974798947,True,Carly Rae Jepsen,All That
Carly Rae Jepsen - Boy Problems,1699822488979,False,Carly Rae Jepsen,Boy Problems
Carly Rae Jepsen - Boy Problems,1699822488979,True,Carly Rae Jepsen,Boy Problems
Carly Rae Jepsen - Making the Most of the Night,1699822695127,False,Carly Rae Jepsen,Making the Most of the Night
Carly Rae Jepsen - Making the Most of the Night,1699822695127,True,Carly Rae Jepsen,Making the Most of the Night
Carly Rae Jepsen - Your Type,1699822695172,False,Carly Rae Jepsen,Your Type
